,n_estimators,learning_rate,max_depth,reg_lambda,auc (mean),auc (std),auc (se)
98,207,0.14714757194169303,6,0.00010716007369182654,0.8116790870235169,0.011217330410256335,0.005016542664681754
99,845,0.6587482589541455,5,0.4085430366948887,0.7765436630957187,0.0162300661799948,0.0072583062515577425
100,493,0.06925207000983546,6,3.053264934631304e-05,0.8105605014963391,0.013695682813258869,0.006124895553744477
101,944,0.35707062835287895,5,0.0031585983085625226,0.7845334029528457,0.014195494062762454,0.006348417939706303
102,935,0.8128295501637063,7,4.895610427481307,0.7804088382931778,0.017400131951323082,0.007781575572124894
103,722,0.4277048330275506,1,0.009861292282171917,0.8412701864920675,0.013114884069902438,0.005865154459466191
104,754,0.5998544375434464,10,0.15811790912356988,0.7797595342480832,0.017945596343790827,0.008025514664297595
105,736,0.7281612831471338,5,1.2506304024164676,0.7794116567041756,0.014002364658434954,0.006262047844400236
106,376,0.8212276083065595,4,5.605227681957874,0.7904381721733342,0.01456037924939916,0.006511599555966777
107,409,0.7605151199802831,4,2.1067152540836926,0.7870599885219525,0.015539657353581586,0.006949546037932582
108,927,0.0071432752789984955,9,1.1220260162362549e-05,0.8212643590244184,0.012892450300160322,0.005765679053539209
109,135,0.4202568336725351,9,0.008745765646408209,0.796734644508095,0.013662511567247872,0.006110060921548686
110,916,0.4631362180381473,10,0.017456353429678762,0.7815440807472787,0.0166635171760456,0.007452151429974658
111,360,0.05549950311272267,0,2.446225684453027e-05,0.802286699615826,0.01488035725243101,0.0066546980691835475
112,911,0.5414421320952196,6,0.06167297870691397,0.7801538906781482,0.017138544195514797,0.0076645899713111065
113,556,0.6077707514438672,2,0.17963677933865863,0.7984506191725323,0.01145515683638179,0.005122901875814223
114,574,0.8284531949961254,6,6.297560740150948,0.7808519649605081,0.016178142629560854,0.007235085333877053
115,862,0.9418092681914485,8,39.143970669872616,0.7886429796539813,0.01723662491375241,0.0077084530019633675
116,666,0.12814785400273287,2,7.889236548648774e-05,0.8268118068621952,0.01072499229591425,0.004796362366365161
117,655,0.23043067441021947,10,0.0004102180075248828,0.7902445112395767,0.013905784025547114,0.006218855672310803
118,315,0.6591583970705609,4,0.4112527163349572,0.7874674723137962,0.013889215714192903,0.006211446098218724
119,534,0.13247398881674854,1,8.45897851154888e-05,0.8443644113045666,0.012760099423850133,0.005706489942276959
120,139,0.22407863694631935,6,0.00037029722598630227,0.8101356253832568,0.013152110915591816,0.005881802810976059
121,231,0.5748625875891491,10,0.10569102582260222,0.7851688671717357,0.01768641818129885,0.007909606666374485
122,513,0.16952372356620915,1,0.00015369723865003206,0.8440842702922972,0.01288234841919287,0.005761161355030442
123,560,0.7822301513237783,5,2.9895860563614107,0.7835704851702576,0.01641841044721946,0.007342536368495087
124,947,0.8569756261117601,1,9.973081836971504,0.8385649607047208,0.012555856648809172,0.005615149796496002
125,897,0.03367420450284819,6,1.7207565506504684e-05,0.8155030228145851,0.013496459518050785,0.006035800187587121
126,748,0.5326448049436736,9,0.05351969559302649,0.7781958238774837,0.017023025734846448,0.007612928545168993
127,666,0.7969513574435644,8,3.790177089506596,0.7794624971828992,0.019423839659392362,0.008686605172491537
128,778,0.9751396811571157,6,66.98503183370524,0.7925953572214739,0.01686518683919619,0.007542340845135498
129,473,0.27425859319442125,5,0.0008314002530619507,0.7947223059345174,0.011963420159828144,0.005350204144153426
