,C,gamma,auc (mean),auc (std),auc (se)
44,0.5671725271825452,0.0027190614042531098,0.8304151833211915,0.019632099631943133,0.008779741863614689
45,20.915237136123856,0.24708906370378936,0.7540720224555685,0.020212584152079383,0.009039342432996889
46,0.29933576771334597,0.0012231319195174957,0.8304316977552293,0.019710154147871833,0.008814648904328173
47,279.8413576285978,6.322879517042782,0.6609826374876178,0.027046486414591987,0.012095556435110448
48,0.011915905388383753,2.174872692658874e-05,0.8309111158863516,0.019295837435252112,0.008629360837601784
49,28.29308246183869,0.3604751773827112,0.7440563318597058,0.021110638432798604,0.009440964516831461
50,0.34091426495137184,0.0014390686091287086,0.8304408762624543,0.01972009271136575,0.00881909356504239
51,0.36075003847556736,0.0015444825828702738,0.8304601734023764,0.01972462182674462,0.00882111904701541
52,6.442396133607852,0.05670016390507414,0.7877247882588484,0.017315088922972368,0.007743543173643967
53,1.373754322465901,0.008216017817727512,0.8297359574080577,0.020717857936328087,0.009265307738762623
54,0.3072999780063342,0.001263945051685687,0.8304593315478593,0.01974322538693598,0.008829438812057687
55,0.0009960719731237507,9.775487685593361e-07,0.831234512497445,0.019475711108630337,0.008709802789809044
56,0.003508930082791008,4.717842365609852e-06,0.8313266693614747,0.01939662936417107,0.008674436358531008
57,18.225517502924976,0.20802947277037512,0.7582708881466884,0.01915447658609278,0.00856614234398631
58,1.4014418999394846,0.008423525690531265,0.8296899191033497,0.020700791910866753,0.009257675580155165
59,15.170631860678577,0.16539775848063604,0.7665684748740822,0.01844943284093478,0.008250837195729445
60,552.322259005506,14.791619108118754,0.6499395846545317,0.029295225630166875,0.013101223185049448
61,12.625574119173065,0.13147372028760596,0.7744555183072239,0.017182927226997238,0.007684438666399556
62,0.0020397015870918756,2.394601911214383e-06,0.8309928249099837,0.019612610260020615,0.008771025951523183
63,0.07066079039911767,0.00020125568006143225,0.83047984069623,0.019681611790760386,0.008801884374180318
64,3.609737045321123,0.02748650305270279,0.8065426967646582,0.018934263337379652,0.008467659985252587
65,0.025425291857803053,5.608638723664856e-05,0.8309785739836164,0.019626822729978108,0.008777381961313809
66,630.0925714572251,17.439357549871097,0.6460354859695282,0.02769451888805486,0.012385365367568511
67,478.0323608408413,12.348000957465985,0.651281533511706,0.029957355696552765,0.013397336752726509
68,125.19365333202829,2.313411678887878,0.6896112941498644,0.027148698355038196,0.012141267004500425
69,0.6813556388412498,0.003419734191382499,0.8303799417187723,0.019535369698031806,0.00873648292207773
70,113.7351435530071,2.051839483364967,0.6954016808919334,0.02720204542898404,0.012165124541249147
71,0.0060126339578758774,9.249238731931034e-06,0.8311719335531109,0.01984593097108709,0.00887537014562383
72,0.07054429111919566,0.00020084099980363827,0.8302200794422403,0.019748661864157423,0.008831870078582743
73,0.598709423493909,0.0029093445004218688,0.8304143234503325,0.019577368886981302,0.008755265530375917
74,28.580198148670156,0.3650535505964964,0.743599270370914,0.02102162149036223,0.009401154929944077
75,0.8215979996180641,0.004321149072512724,0.8305421821524221,0.020003386401791706,0.008945786354920235
76,0.0065129297278917414,1.0221050238172716e-05,0.8311943573472608,0.01952530058148475,0.008731979876263216
