,n_neighbors,weights,p,auc (mean),auc (std),auc (se)
86,68,distance,3,0.8233895388602666,0.013004403346487572,0.0058157459779143925
87,187,distance,3,0.8240852955859307,0.012375101072481935,0.005534313445300031
88,48,distance,4,0.8208904265745629,0.014250728101934864,0.006373119352958582
89,17,distance,3,0.8082279928747006,0.015098289782584201,0.006752160459569758
90,13,uniform,4,0.81558070272905,0.013851232446736859,0.00619445946461087
91,94,distance,5,0.8228188368387676,0.012826034833984331,0.005735977154113839
92,108,uniform,5,0.8286105829957181,0.013942007520767666,0.006235055311849962
93,138,uniform,1,0.8304045258360893,0.01773600651781322,0.00793178324464194
94,77,uniform,5,0.8292419034559929,0.015297197465948648,0.00684111467981974
95,68,distance,4,0.8234575898589614,0.012811016581462156,0.00572926078740527
96,111,distance,2,0.8241837810994816,0.0133937824844408,0.00598988162221113
97,143,distance,3,0.8249033865481475,0.013226008394078174,0.005914850768028324
98,125,distance,5,0.8244261139995492,0.012562217726283659,0.005617994556824621
99,21,distance,5,0.8118894867766603,0.014713869550906209,0.006580242505578117
100,54,distance,2,0.8226108316212348,0.012854696524929666,0.0057487950519746105
101,144,uniform,2,0.8287601775952703,0.01596605906858786,0.007140238682027886
102,60,distance,3,0.8223409992321763,0.012627616141405576,0.005647241617191293
103,36,distance,1,0.81628627344745,0.015164566004821944,0.006781800087212853
104,49,uniform,5,0.8280134968605706,0.015377046764825122,0.006876824371868439
105,5,uniform,3,0.7759101299011002,0.016317744722583103,0.007297517287836853
106,44,distance,5,0.8198489526281584,0.014990560903808887,0.0067039826403534715
107,55,uniform,1,0.8310460943191526,0.014919008137371225,0.006671983270406916
108,44,distance,3,0.8206159426936199,0.014660091731807129,0.006556192333740671
109,179,uniform,4,0.8261381152416941,0.014963164329045913,0.006691730519649338
110,40,uniform,3,0.8274685713106462,0.01659480987053093,0.007421424588838329
111,132,uniform,5,0.8281370938788987,0.015164700866074403,0.00678186039899846
112,158,uniform,2,0.828516285462712,0.015722718813124575,0.007031413611452272
113,141,distance,3,0.8249183171819559,0.01321497685235882,0.005909917312592105
114,80,uniform,2,0.8296153330861273,0.015227368801154204,0.006809886351568055
115,30,uniform,2,0.8272047580175996,0.01653215802612882,0.007393405832238556
116,137,distance,5,0.8246976022542049,0.012959613079617533,0.00579571516162404
117,55,distance,2,0.822916349469861,0.012763126436964674,0.005707843663695539
118,167,uniform,1,0.8306656825376443,0.01744374512453295,0.007801079976127241
119,118,distance,5,0.8238671291516203,0.01252534020747724,0.0056015024290460855
120,199,uniform,2,0.8275240092322287,0.01612659989692143,0.007212034723091484
121,150,distance,5,0.8241580046279069,0.012783601235622393,0.005717000272020396
122,45,uniform,4,0.8278748643860816,0.015425564422091516,0.006898522127819777
123,136,distance,5,0.8247688093884141,0.012950621930336222,0.005791694197426267
124,198,distance,2,0.8248260718740663,0.013249517805370379,0.005925364496380398
125,101,distance,4,0.8236595956346731,0.012719264927250546,0.0056882282002322275
126,181,distance,1,0.8260423485579065,0.015151175914104998,0.006775811856599257
127,170,uniform,2,0.8284553312648388,0.01567522541602405,0.007010173918572439
128,30,distance,4,0.8170870195860566,0.015464007445596619,0.006915714370583383
129,27,uniform,5,0.8271819542424227,0.015467350444026163,0.006917209404930811
130,65,uniform,1,0.8309185615490648,0.015846536455213972,0.007086786544357398
131,191,uniform,4,0.82622111325269,0.015336910530613488,0.006858874902256825
132,13,uniform,2,0.8155969960534385,0.013981168780103302,0.006252568759441758
133,135,uniform,5,0.8280895225472878,0.015029441429419522,0.006721370540006731
134,163,distance,5,0.8242216170551208,0.012416871129683043,0.005552993582765178
135,188,uniform,5,0.825714043312596,0.015177323525199736,0.00678750542377067
136,107,uniform,3,0.8291545864365117,0.014935216681056919,0.006679231951506413
137,111,distance,2,0.8241837810994816,0.0133937824844408,0.00598988162221113
138,117,distance,4,0.823802724005367,0.012656504386701267,0.005660160833237664
139,94,uniform,4,0.8276961357239816,0.015576309001585178,0.006965937153217267
140,18,uniform,3,0.8222050249870282,0.015762689371538362,0.007049288988594643
141,6,distance,5,0.7697694858201561,0.014156467893627508,0.0063309649062888735
142,80,uniform,1,0.8310695679746749,0.01655748899266863,0.007404734184862314
143,50,uniform,4,0.8285256932688325,0.014485316919041799,0.006478030661321056
144,183,uniform,1,0.82969789870492,0.017914165159388814,0.008011458211310349
145,77,distance,2,0.8241587432979209,0.013912191324170493,0.006221721103365607
146,106,uniform,1,0.8314727442229781,0.016928226458882673,0.0075705330201144404
147,183,distance,5,0.8234653827457168,0.012292337391115498,0.005497300401779335
148,176,distance,4,0.8238441845214073,0.01202910162399295,0.00537957778790027
149,166,uniform,2,0.8284548906833894,0.01572593822158688,0.007032853374686082
150,88,distance,3,0.8233123568519751,0.013144971810923275,0.005878610106308591
151,150,distance,1,0.8260151782766156,0.015305142572679073,0.006844667839567284
152,5,uniform,3,0.7759101299011002,0.016317744722583103,0.007297517287836853
